Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,5147,1519,65,22290,2373.34,1.477%,4.26489,35.99,0.64,8641.0
Login,5136,2065,100,26686,2590.34,2.259%,4.25696,41.51,3.47,9985.9
List Products,5118,3666,0,1158131,22365.98,3.966%,4.24344,443.44,2.38,107007.3
Look at Product,5051,4819,0,46336,4693.14,3.049%,4.18990,403.15,2.32,98528.6
Add Product to Cart,5026,4527,60,38364,4557.40,4.755%,4.17101,89.71,5.76,22025.2
List Products with different page,5019,3141,0,32894,3358.31,4.284%,4.16777,432.95,3.13,106373.2
Add Product 2 to Cart,5006,4523,109,34575,4309.01,4.854%,4.15895,91.60,6.87,22552.8
Logout,5004,2361,147,30278,3047.67,2.338%,4.15917,41.57,6.58,10235.8
TOTAL,40507,3321,0,1158131,8736.03,3.365%,33.56465,1577.76,31.08,48134.9
