Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,3890,309,64,7739,307.11,0.026%,3.16457,26.44,0.48,8555.1
Login,3889,603,164,17021,700.17,0.000%,3.18619,30.81,2.85,9901.2
List Products,3889,1008,0,17174,853.17,21.831%,3.19008,278.14,2.04,89282.1
Look at Product,3889,2938,0,7207,1203.44,1.671%,3.21322,194.17,2.00,61878.6
Add Product to Cart,3865,2763,73,8517,1134.83,1.501%,3.20575,35.04,5.01,11192.5
List Products with different page,3850,1020,0,17552,868.35,22.597%,3.20455,281.47,2.75,89942.7
Add Product 2 to Cart,3848,2811,109,8800,1140.97,1.507%,3.20550,36.45,5.96,11643.3
Logout,3840,587,158,5290,404.18,0.000%,3.20256,32.02,5.51,10239.4
TOTAL,30960,1504,0,17552,1377.56,6.140%,25.18625,900.35,26.10,36605.6
