Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,12473,146,101,213,418,855,29,6242,1.195%,10.40173,88.50,1.56
Login,12468,271,210,455,629,1115,66,4828,1.251%,10.40030,101.36,10.36
List Products,12466,620,451,1248,1711,3118,0,10947,2.062%,10.39980,1127.12,7.76
Look at Product,12463,632,467,1274,1720,3041,0,10398,2.070%,10.39748,1091.35,7.63
Add Product to Cart,12456,393,302,686,992,1757,29,14556,2.673%,10.39154,267.57,17.43
List Products with different page,12448,578,432,1164,1566,2859,0,12120,2.201%,10.38613,1122.99,9.01
Add Product 2 to Cart,12431,401,309,693,1035,1772,63,14069,2.639%,10.37198,273.77,19.77
Logout,12427,266,204,450,609,1119,59,17898,1.545%,10.37001,104.52,18.28
TOTAL,99632,413,273,851,1206,2249,0,17898,1.954%,83.08684,4175.41,91.74
