Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,5674,416,182,1084,1608,2932,55,7238,4.336%,4.72588,37.82,0.71
Login,5674,575,331,1265,1792,3026,74,7562,5.869%,4.74114,43.52,4.60
List Products,5673,864,586,1940,2716,3996,0,7474,16.799%,4.75879,436.29,3.43
Look at Product,5673,1517,1243,2992,3752,5397,0,8026,17.610%,4.75144,235.12,3.36
Add Product to Cart,5658,1448,1162,2978,3777,5547,56,8433,23.012%,4.73888,45.03,7.55
List Products with different page,5644,1020,692,2360,3033,4680,0,7703,25.071%,4.73774,388.00,4.01
Add Product 2 to Cart,5638,1388,1130,2798,3487,4901,87,8150,23.608%,4.73270,46.82,8.51
Logout,5624,693,399,1639,2245,3375,70,6190,10.224%,4.72666,43.39,7.90
TOTAL,45258,990,636,2330,3003,4586,0,8433,15.807%,37.67713,1266.82,39.78
