Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,4370,1006,59,18682,1414.14,0.069%,3.64005,28.61,0.55,8048.6
Login,4370,1432,124,35209,1625.03,0.092%,3.63503,33.79,2.34,9519.5
List Products,4367,1397,0,13399,1519.95,67.117%,3.63292,187.64,1.33,52889.8
Look at Product,4363,7977,0,52151,9187.53,21.132%,3.63090,174.06,1.17,49090.3
Add Product to Cart,4325,8180,57,54824,9562.89,21.572%,3.59995,34.43,4.00,9794.4
List Products with different page,4266,1411,0,20691,1763.73,68.659%,3.55142,174.57,2.45,50334.2
Add Product 2 to Cart,4263,8321,61,57839,9609.21,20.924%,3.54977,34.50,5.26,9951.8
Logout,4224,1614,118,21894,1889.84,0.142%,3.51891,33.46,5.28,9736.3
TOTAL,34548,3915,0,57839,6784.58,24.951%,28.73356,700.58,22.35,24967.0
