Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,6572,690,273,1888,2606,4468,58,7930,23.494%,5.45449,38.44,0.82
Login,6570,844,434,2090,3084,5521,62,8552,25.068%,5.45402,43.43,4.50
List Products,6569,1676,1039,4031,5533,8734,0,16967,30.248%,5.45403,402.08,3.30
Look at Product,6535,2321,1404,5611,7983,11480,0,18509,30.390%,5.42580,216.09,3.21
Add Product to Cart,6503,2004,1184,5260,6444,8975,55,15963,35.676%,5.39924,44.41,7.06
List Products with different page,6497,1789,1115,4350,5939,8984,0,13831,34.385%,5.39509,377.81,3.81
Add Product 2 to Cart,6482,2059,1176,5270,6994,10252,39,14951,34.449%,5.38264,46.38,7.93
Logout,6477,1037,458,2681,3972,6622,66,12326,29.134%,5.37923,42.80,7.41
TOTAL,52205,1551,773,4067,5673,9051,0,18509,30.338%,43.32771,1210.91,38.01
