Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,5674,416,55,7238,576.09,4.336%,4.72588,37.82,0.71,8194.3
Login,5674,575,74,7562,607.06,5.869%,4.74114,43.52,4.60,9400.4
List Products,5673,864,0,7474,861.96,16.799%,4.75879,436.29,3.43,93881.5
Look at Product,5673,1517,0,8026,1145.47,17.610%,4.75144,235.12,3.36,50672.5
Add Product to Cart,5658,1448,56,8433,1170.12,23.012%,4.73888,45.03,7.55,9730.7
List Products with different page,5644,1020,0,7703,989.71,25.071%,4.73774,388.00,4.01,83861.1
Add Product 2 to Cart,5638,1388,87,8150,1069.47,23.608%,4.73270,46.82,8.51,10129.8
Logout,5624,693,70,6190,711.70,10.224%,4.72666,43.39,7.90,9399.1
TOTAL,45258,990,0,8433,1000.48,15.807%,37.67713,1266.82,39.78,34429.9
