Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,3576,2740,58,21406,3670.93,7.970%,2.97856,23.11,0.45,7945.1
Login,3574,3575,77,29495,4853.30,12.339%,2.97800,25.92,2.59,8911.2
List Products,3546,4707,0,37148,6311.98,21.433%,2.95535,249.72,1.83,86525.1
Look at Product,3507,6454,0,38051,7479.35,17.736%,2.92504,139.63,1.78,48881.9
Add Product to Cart,3484,6230,55,45694,7128.63,24.254%,2.90837,26.88,4.23,9463.5
List Products with different page,3470,4849,0,39578,6252.61,27.032%,2.89717,226.39,2.30,80016.8
Add Product 2 to Cart,3445,6453,80,34938,7350.66,26.328%,2.87749,27.19,4.92,9675.0
Logout,3429,3345,59,28518,4354.43,13.561%,2.86451,25.53,4.60,9126.1
TOTAL,28031,4785,0,45694,6229.15,18.776%,23.34767,743.25,22.66,32598.2
