Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,5185,1786,55,21595,2608.56,4.744%,4.31838,31.58,0.65,7487.9
Login,5179,2306,76,24828,3072.69,7.743%,4.31386,37.23,2.78,8837.4
List Products,5163,2522,0,892570,15941.92,60.992%,4.30101,205.47,1.57,48919.3
Look at Product,5152,4382,0,37391,5229.73,32.803%,4.29185,297.59,1.43,71001.5
Add Product to Cart,5149,4497,50,48248,5268.03,35.230%,4.28933,78.48,4.71,18735.3
List Products with different page,5126,3770,0,1093736,39961.70,65.392%,4.27067,194.67,2.77,46676.0
Add Product 2 to Cart,5089,4546,61,58345,5352.91,35.528%,4.23985,78.21,6.05,18889.4
Logout,5065,2528,79,22860,3273.49,8.628%,4.22030,36.73,6.10,8912.1
TOTAL,41108,3289,0,1093736,15683.72,31.373%,34.23709,959.71,26.06,28703.9
