Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,11621,275,53,5106,429.46,1.807%,9.66502,80.11,1.45,8487.9
Login,11613,425,60,6044,513.96,3.117%,9.66708,91.42,9.51,9683.3
List Products,11603,738,0,6317,702.29,4.628%,9.65097,988.74,7.09,104908.8
Look at Product,11552,937,0,8461,987.57,4.640%,9.60843,935.82,6.94,99733.3
Add Product to Cart,11534,776,58,21045,929.06,6.945%,9.60159,229.51,15.79,24476.7
List Products with different page,11529,716,0,7871,725.40,5.742%,9.61127,966.81,8.30,103005.5
Add Product 2 to Cart,11527,772,59,7723,882.10,7.374%,9.60059,234.44,17.99,25005.1
Logout,11524,463,57,6001,591.52,4.226%,9.59519,93.18,16.66,9944.1
TOTAL,92503,637,0,21045,773.02,4.805%,76.92180,3616.28,83.64,48140.7
