Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,5147,1519,697,4235,6398,12208,65,22290,1.477%,4.26489,35.99,0.64
Login,5136,2065,1263,4971,7278,13212,100,26686,2.259%,4.25696,41.51,3.47
List Products,5118,3666,2141,7121,11593,19576,0,1158131,3.966%,4.24344,443.44,2.38
Look at Product,5051,4819,3527,10344,15126,23449,0,46336,3.049%,4.18990,403.15,2.32
Add Product to Cart,5026,4527,3339,10103,13660,24299,60,38364,4.755%,4.17101,89.71,5.76
List Products with different page,5019,3141,2178,6862,11461,16009,0,32894,4.284%,4.16777,432.95,3.13
Add Product 2 to Cart,5006,4523,3347,9628,14011,23226,109,34575,4.854%,4.15895,91.60,6.87
Logout,5004,2361,1407,5552,8879,15663,147,30278,2.338%,4.15917,41.57,6.58
TOTAL,40507,3321,2128,6935,11502,19753,0,1158131,3.365%,33.56465,1577.76,31.08
