Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,7119,1227,58,22809,2225.70,6.855%,5.86234,42.70,0.88,7459.2
Login,7115,1413,73,30976,2355.78,8.236%,5.85977,50.54,3.80,8832.0
List Products,7109,1638,0,34050,3103.56,61.922%,5.85547,287.35,2.27,50250.9
Look at Product,7101,3876,0,47582,5403.54,27.686%,5.84886,456.34,2.08,79894.2
Add Product to Cart,7080,3608,53,35768,5387.64,30.198%,5.83156,115.75,6.62,20325.1
List Products with different page,7048,1540,0,30186,2875.05,66.388%,5.80549,271.54,4.05,47896.3
Add Product 2 to Cart,7027,3664,57,42142,5276.01,30.568%,5.78819,116.46,8.61,20603.2
Logout,6988,1709,67,30269,3029.27,10.489%,5.75659,49.57,8.41,8817.6
TOTAL,56587,2334,0,47582,4076.23,30.290%,46.59817,1389.92,36.72,30543.7
