Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,14988,216,130,437,771,1606,1,17692,19.309%,12.48666,83.92,1.88
Login,14979,339,205,656,1042,2035,25,19773,19.908%,12.48059,98.47,6.32
List Products,14962,571,379,1119,1683,3363,0,20524,89.179%,12.46803,554.54,3.34
Look at Product,14948,1013,709,2178,3098,5605,0,45684,30.780%,12.45637,914.45,3.01
Add Product to Cart,14920,568,291,1236,1853,4023,0,21836,32.091%,12.43307,227.75,11.19
List Products with different page,14901,517,350,1052,1568,3236,0,20132,90.625%,12.42254,535.04,7.31
Add Product 2 to Cart,14901,661,397,1406,2074,3822,57,25512,31.461%,12.41793,234.01,15.48
Logout,14890,359,195,758,1227,2655,0,24470,20.390%,12.41042,99.13,15.28
TOTAL,119489,530,290,1188,1775,3667,0,45684,41.708%,99.54596,2746.37,63.79
