Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,3165,4337,144,11450,1948.67,0.474%,2.63526,7.97,0.39,3095.4
Login,3150,4662,138,10296,1955.94,0.667%,2.64802,11.98,1.30,4632.4
List Products,3129,0,0,1,0.03,100.000%,2.64345,3.05,0.00,1181.0
Look at Product,3129,0,0,1,0.04,100.000%,2.64345,3.02,0.00,1169.0
Add Product to Cart,3129,191,55,5529,263.96,100.000%,2.64326,16.49,0.91,6390.0
List Products with different page,3129,0,0,1,0.02,100.000%,2.65566,3.09,0.00,1190.0
Add Product 2 to Cart,3129,377,54,21049,658.47,100.000%,2.65554,16.56,0.91,6386.4
Logout,3128,4838,390,11624,2051.67,0.416%,2.65520,12.50,2.55,4822.5
TOTAL,25088,1806,0,21049,2515.26,62.556%,20.88895,73.61,5.98,3608.4
