Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,6244,757,55,10419,1152.29,1.842%,5.20183,42.60,0.78,8386.4
Login,6243,1090,65,12300,1412.61,3.252%,5.20154,48.73,5.08,9594.2
List Products,6237,1609,0,18141,1875.00,3.271%,5.19721,529.80,3.78,104386.3
Look at Product,6229,2650,0,22123,2637.57,4.351%,5.19145,475.53,3.70,93796.2
Add Product to Cart,6197,2630,58,20822,2590.88,5.954%,5.16527,115.45,8.44,22888.1
List Products with different page,6182,1607,0,16802,1779.06,3.478%,5.16714,525.99,4.42,104237.9
Add Product 2 to Cart,6182,2693,119,18757,2561.27,5.937%,5.15410,117.09,9.59,23262.9
Logout,6147,1228,75,12386,1586.46,4.100%,5.12578,49.46,8.85,9881.3
TOTAL,49661,1782,0,22123,2148.78,4.019%,41.37107,1902.36,44.61,47086.5
