Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,11621,275,117,701,1197,2113,53,5106,1.807%,9.66502,80.11,1.45
Login,11613,425,247,871,1531,2704,60,6044,3.117%,9.66708,91.42,9.51
List Products,11603,738,498,1568,2286,3547,0,6317,4.628%,9.65097,988.74,7.09
Look at Product,11552,937,558,2305,3060,4744,0,8461,4.640%,9.60843,935.82,6.94
Add Product to Cart,11534,776,413,1999,2781,4412,58,21045,6.945%,9.60159,229.51,15.79
List Products with different page,11529,716,458,1500,2314,3772,0,7871,5.742%,9.61127,966.81,8.30
Add Product 2 to Cart,11527,772,427,2009,2700,4283,59,7723,7.374%,9.60059,234.44,17.99
Logout,11524,463,243,1171,1769,3086,57,6001,4.226%,9.59519,93.18,16.66
TOTAL,92503,637,350,1536,2301,3860,0,21045,4.805%,76.92180,3616.28,83.64
