Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,7651,229,106,374,807,2313,55,4184,1.882%,6.37634,50.88,0.96
Login,7650,377,279,591,1018,2546,65,6552,2.444%,6.37617,59.14,5.52
List Products,7644,823,410,890,1361,3279,0,944170,28.689%,6.37192,492.04,3.87
Look at Product,7633,957,744,1642,2987,4712,0,21038,15.302%,6.36275,566.94,3.76
Add Product to Cart,7629,852,624,1555,2704,4741,51,8946,14.877%,6.35939,145.79,9.47
List Products with different page,7623,1367,413,952,1714,3657,0,1141490,30.565%,6.35471,479.06,5.18
Add Product 2 to Cart,7607,898,670,1622,2709,4627,69,21038,15.354%,6.34139,147.14,11.22
Logout,7603,404,251,639,1319,2856,74,6008,3.051%,6.33874,60.28,10.52
TOTAL,61040,738,390,1163,1858,4011,0,1141490,14.019%,50.86972,2000.76,50.49
