Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,6557,310,176,591,1079,3190,55,5417,6.848%,5.46476,44.85,0.82
Login,6555,476,310,817,1230,3114,77,9667,6.773%,5.46395,51.42,5.03
List Products,6553,787,590,1389,2291,4654,0,9936,8.317%,5.46290,555.43,3.69
Look at Product,6545,1381,1023,2996,4367,7823,0,18516,9.381%,5.45624,491.19,3.62
Add Product to Cart,6539,1250,902,2621,4209,6730,27,13000,10.873%,5.45124,114.62,8.25
List Products with different page,6529,857,616,1621,2635,5177,0,9154,10.109%,5.44316,541.72,4.28
Add Product 2 to Cart,6524,1297,966,2803,4181,6703,17,21038,10.837%,5.43899,117.77,9.31
Logout,6511,532,348,987,1578,3367,38,7324,7.802%,5.42867,52.34,8.72
TOTAL,52313,861,545,1751,2937,5629,0,21038,8.866%,43.59864,1968.77,43.72
