Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,5943,794,191,2358,3594,6794,55,11061,21.975%,4.90914,35.64,0.74
Login,5943,1025,401,2757,4621,7526,75,13057,22.884%,4.90931,40.36,4.15
List Products,5934,1649,607,4955,7387,11763,0,24791,26.710%,4.90249,393.18,3.00
Look at Product,5901,3110,1806,8329,10788,15387,0,21715,24.962%,4.87648,217.46,2.92
Add Product to Cart,5866,2789,1734,7381,9130,13108,56,25643,30.293%,4.84829,43.08,6.58
List Products with different page,5865,1878,808,5299,7260,11596,0,27832,31.100%,4.84807,366.56,3.49
Add Product 2 to Cart,5859,2960,1803,7637,9674,13555,0,20461,28.435%,4.84442,45.50,7.50
Logout,5850,1226,464,3595,5521,8324,60,12667,26.821%,4.83773,39.70,6.89
TOTAL,47161,1926,689,5737,7861,12326,0,27832,26.632%,38.95343,1180.86,35.24
