Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,3063,9362,8905,18678,21723,28408,78,35781,0.947%,2.54043,7.67,0.38
Login,3034,9877,9463,18961,22191,29120,143,39384,1.055%,2.51776,11.38,1.24
List Products,3002,0,0,0,0,0,0,1,100.000%,2.49437,2.88,0.00
Look at Product,3002,0,0,0,0,0,0,0,100.000%,2.49437,2.85,0.00
Add Product to Cart,3002,281,116,878,1128,1691,50,4191,100.000%,2.49359,15.56,0.86
List Products with different page,3002,0,0,0,0,0,0,0,100.000%,2.49378,2.90,0.00
Add Product 2 to Cart,3002,462,256,1112,1311,2110,108,6436,100.000%,2.49189,15.54,0.86
Logout,3000,9988,9531,18914,22680,30003,191,40537,1.267%,2.49066,11.71,2.38
TOTAL,24107,3768,200,13550,17275,25942,0,40537,62.675%,19.99419,70.42,5.70
