Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,3084,4442,248,11788,1944.10,0.713%,2.56688,7.76,0.38,3094.1
Login,3062,4824,290,10504,2010.75,0.425%,2.57386,11.65,1.27,4636.2
List Products,3049,0,0,1,0.03,100.000%,2.57427,2.97,0.00,1181.0
Look at Product,3049,0,0,1,0.03,100.000%,2.57428,2.94,0.00,1169.0
Add Product to Cart,3049,200,54,3219,230.30,100.000%,2.57408,16.06,0.89,6390.0
List Products with different page,3049,0,0,1,0.03,100.000%,2.58110,3.00,0.00,1190.0
Add Product 2 to Cart,3049,394,109,7245,466.72,100.000%,2.58069,16.10,0.89,6387.5
Logout,3047,4944,505,21053,2071.97,0.459%,2.57926,12.14,2.47,4820.7
TOTAL,24438,1855,0,21053,2566.78,62.583%,20.34024,71.67,5.82,3608.3
