Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,4304,534,190,1598,2278,3818,52,10146,3.648%,3.56620,28.98,0.54
Login,4304,700,383,1707,2504,4218,65,11327,5.530%,3.59130,33.27,3.48
List Products,4301,1493,1074,3092,4021,6346,0,11933,9.602%,3.61391,350.03,2.61
Look at Product,4290,2114,1536,4427,5494,7974,0,16630,10.373%,3.61994,308.44,2.57
Add Product to Cart,4275,1701,1012,4001,5161,7440,65,14531,13.661%,3.62530,76.71,5.81
List Products with different page,4274,1577,1133,3420,4335,5817,0,11763,11.886%,3.64790,343.41,3.10
Add Product 2 to Cart,4264,1670,1024,3813,4953,7542,70,15377,14.212%,3.64172,78.18,6.66
Logout,4254,824,402,2102,2865,4940,59,21162,7.875%,3.65347,34.36,6.21
TOTAL,34266,1326,818,3184,4258,6715,0,21162,9.590%,28.39048,1227.34,30.22
