Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,4304,534,52,10146,831.43,3.648%,3.56620,28.98,0.54,8321.6
Login,4304,700,65,11327,860.16,5.530%,3.59130,33.27,3.48,9487.5
List Products,4301,1493,0,11933,1248.35,9.602%,3.61391,350.03,2.61,99182.2
Look at Product,4290,2114,0,16630,1737.01,10.373%,3.61994,308.44,2.57,87251.3
Add Product to Cart,4275,1701,65,14531,1686.11,13.661%,3.62530,76.71,5.81,21668.5
List Products with different page,4274,1577,0,11763,1288.05,11.886%,3.64790,343.41,3.10,96399.8
Add Product 2 to Cart,4264,1670,70,15377,1668.98,14.212%,3.64172,78.18,6.66,21983.8
Logout,4254,824,59,21162,1052.73,7.875%,3.65347,34.36,6.21,9630.8
TOTAL,34266,1326,0,21162,1442.05,9.590%,28.39048,1227.34,30.22,44268.2
