Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,6244,757,297,2271,3340,5521,55,10419,1.842%,5.20183,42.60,0.78
Login,6243,1090,622,2584,4051,7454,65,12300,3.252%,5.20154,48.73,5.08
List Products,6237,1609,1052,3902,5759,9321,0,18141,3.271%,5.19721,529.80,3.78
Look at Product,6229,2650,1945,6296,8271,12831,0,22123,4.351%,5.19145,475.53,3.70
Add Product to Cart,6197,2630,1937,6159,8278,11907,58,20822,5.954%,5.16527,115.45,8.44
List Products with different page,6182,1607,1078,3834,5781,8411,0,16802,3.478%,5.16714,525.99,4.42
Add Product 2 to Cart,6182,2693,1981,6514,8037,11931,119,18757,5.937%,5.15410,117.09,9.59
Logout,6147,1228,677,3272,4842,7906,75,12386,4.100%,5.12578,49.46,8.85
TOTAL,49661,1782,1041,4488,6464,10119,0,22123,4.019%,41.37107,1902.36,44.61
