Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,3205,9459,8864,18098,21305,26904,80,33912,0.998%,2.55294,7.71,0.38
Login,3173,9827,9391,18553,21871,27533,83,35510,1.103%,2.52779,11.42,1.24
List Products,3138,0,0,0,0,0,0,1,100.000%,2.50069,2.88,0.00
Look at Product,3138,0,0,0,0,0,0,0,100.000%,2.50069,2.85,0.00
Add Product to Cart,3138,249,100,760,1100,1499,53,2844,100.000%,2.50044,15.60,0.86
List Products with different page,3137,0,0,0,0,0,0,1,100.000%,2.50215,2.91,0.00
Add Product 2 to Cart,3137,484,237,1114,1321,2597,109,21062,100.000%,2.50172,15.60,0.86
Logout,3137,10205,9734,19333,22399,28276,200,36683,1.243%,2.50013,11.75,2.38
TOTAL,25203,3801,197,13723,17286,24114,0,36683,62.667%,20.07542,70.69,5.72
