Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,5928,415,55,21046,680.97,20.294%,4.94082,36.56,0.74,7578.0
Login,5927,596,32,9650,736.01,20.871%,4.97225,41.67,4.26,8581.1
List Products,5925,797,0,9726,944.16,34.937%,4.99564,363.38,3.17,74486.2
Look at Product,5920,1416,0,21035,1518.33,35.338%,4.99143,319.73,3.10,65592.8
Add Product to Cart,5906,1394,70,11529,1465.20,36.590%,4.97962,84.61,6.94,17399.1
List Products with different page,5892,888,0,21034,1003.86,35.896%,4.98119,354.02,3.66,72777.1
Add Product 2 to Cart,5885,1408,68,11611,1476.28,36.856%,4.97528,87.06,7.78,17918.2
Logout,5879,701,78,12105,813.95,21.653%,4.97074,42.82,7.20,8821.6
TOTAL,47262,951,0,21046,1189.51,30.299%,39.39081,1313.91,36.42,34156.3
