Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,6509,663,56,13539,1132.41,1.460%,5.42156,51.37,0.81,9703.1
Login,6505,880,78,15252,1118.60,2.613%,5.41888,57.77,5.32,10916.9
List Products,6502,1433,0,15816,1630.75,3.137%,5.42534,574.59,3.98,108450.2
Look at Product,6502,2567,0,28561,2700.20,3.460%,5.41831,521.05,3.90,98471.9
Add Product to Cart,6498,2555,12,28508,2836.97,6.017%,5.41592,128.39,8.85,24274.5
List Products with different page,6466,1523,0,14369,1667.88,4.129%,5.39254,564.56,4.60,107205.5
Add Product 2 to Cart,6430,2604,71,26516,2973.41,5.086%,5.36366,131.65,10.06,25134.4
Logout,6412,1111,110,16245,1549.03,3.337%,5.34930,58.48,9.27,11193.8
TOTAL,51824,1667,0,28561,2208.67,3.653%,43.16595,2085.50,46.73,49473.1
