Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,15583,362,164,868,1550,3084,57,10618,0.892%,12.97094,98.39,1.95
Login,15578,575,337,1179,1948,4114,37,11686,1.502%,12.96809,117.07,7.55
List Products,15568,769,489,1655,2500,4930,0,39066,75.976%,12.96123,563.57,3.89
Look at Product,15560,1923,1292,4695,6212,10075,0,83179,25.701%,12.95450,997.51,3.61
Add Product to Cart,15494,1334,698,3661,5046,8017,0,18538,26.501%,12.89965,257.37,13.58
List Products with different page,15480,755,438,1763,2654,5041,0,42141,79.548%,12.88913,541.84,8.64
Add Product 2 to Cart,15460,1421,831,3802,4969,7951,0,19146,26.436%,12.87251,260.31,18.63
Logout,15448,610,329,1454,2315,4093,69,10204,2.337%,12.86380,117.60,18.73
TOTAL,124171,968,437,2494,3897,6982,0,83179,29.852%,103.35628,2952.95,76.57
