Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,5185,1786,711,5277,7216,12512,55,21595,4.744%,4.31838,31.58,0.65
Login,5179,2306,1013,6843,9277,13409,76,24828,7.743%,4.31386,37.23,2.78
List Products,5163,2522,858,6010,9726,18239,0,892570,60.992%,4.30101,205.47,1.57
Look at Product,5152,4382,3356,10955,15448,25063,0,37391,32.803%,4.29185,297.59,1.43
Add Product to Cart,5149,4497,3103,12021,14970,24361,50,48248,35.230%,4.28933,78.48,4.71
List Products with different page,5126,3770,828,6028,9008,15398,0,1093736,65.392%,4.27067,194.67,2.77
Add Product 2 to Cart,5089,4546,3359,11508,14966,23959,61,58345,35.528%,4.23985,78.21,6.05
Logout,5065,2528,1244,7003,9725,14631,79,22860,8.628%,4.22030,36.73,6.10
TOTAL,41108,3289,1228,8148,11925,20025,0,1093736,31.373%,34.23709,959.71,26.06
