Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,6116,906,55,904500,11613.03,3.613%,5.09485,39.59,0.77,7957.7
Login,6113,1043,59,11564,1286.08,5.382%,5.09285,45.83,3.93,9215.5
List Products,6107,1450,0,702558,12562.20,44.867%,5.08851,314.48,2.63,63285.6
Look at Product,6103,2922,0,17892,2511.96,12.371%,5.08516,454.36,2.53,91494.0
Add Product to Cart,6070,2917,50,18995,2806.32,16.079%,5.05768,109.48,6.85,22165.1
List Products with different page,6052,1335,0,503760,6652.20,48.166%,5.04298,303.30,4.00,61586.2
Add Product 2 to Cart,6044,2976,64,18542,2583.54,14.742%,5.03631,111.96,8.52,22763.7
Logout,6024,1292,57,11436,1521.11,6.839%,5.02023,46.01,7.99,9385.0
TOTAL,48629,1854,0,904500,6790.83,18.999%,40.50867,1424.63,37.21,36012.6
