Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,5397,379,196,798,1548,3283,56,8208,1.390%,4.49423,37.64,0.68
Login,5394,606,406,1100,1807,3898,123,10482,1.891%,4.51620,43.37,4.45
List Products,5388,949,709,1577,2601,4857,0,11395,3.749%,4.52253,474.72,3.32
Look at Product,5383,1529,1066,3466,4727,6731,0,11102,3.641%,4.51835,428.98,3.26
Add Product to Cart,5378,1388,939,3041,4512,6957,90,14328,5.225%,4.51416,103.94,7.44
List Products with different page,5368,1028,723,1939,3075,5483,0,13189,4.396%,4.52724,469.35,3.87
Add Product 2 to Cart,5358,1462,1006,3217,4657,6869,39,10851,4.965%,4.51880,107.10,8.48
Logout,5349,653,420,1295,2257,4354,77,8121,2.505%,4.51285,44.62,7.86
TOTAL,43015,999,683,2036,3362,6002,0,14328,3.469%,35.81966,1693.65,38.96
