Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,8422,137,104,207,265,518,53,6942,0.012%,7.01188,56.11,1.05
Login,8421,285,249,412,504,794,113,9093,0.024%,7.05175,66.25,5.29
List Products,8419,1495,311,708,868,1489,0,1085122,48.248%,7.08262,441.52,3.50
Look at Product,8400,752,689,1156,1363,2252,0,12103,14.048%,7.10134,648.49,3.41
Add Product to Cart,8398,531,512,846,967,1274,58,5698,13.015%,7.15238,166.28,9.88
List Products with different page,8396,1301,314,696,852,1406,0,733334,51.394%,7.17509,448.20,5.90
Add Product 2 to Cart,8376,603,557,915,1062,1484,14,8568,12.846%,7.16583,168.39,12.56
Logout,8374,266,240,397,478,723,12,3792,0.024%,7.16781,69.11,11.70
TOTAL,67206,671,320,806,973,1441,0,1085122,17.455%,55.95273,2027.85,52.15
