Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,6116,906,354,1973,3327,5579,55,904500,3.613%,5.09485,39.59,0.77
Login,6113,1043,612,2424,3918,6650,59,11564,5.382%,5.09285,45.83,3.93
List Products,6107,1450,714,2387,4082,8514,0,702558,44.867%,5.08851,314.48,2.63
Look at Product,6103,2922,2230,6468,7941,12213,0,17892,12.371%,5.08516,454.36,2.53
Add Product to Cart,6070,2917,2084,6573,8604,14023,50,18995,16.079%,5.05768,109.48,6.85
List Products with different page,6052,1335,763,2765,4577,7601,0,503760,48.166%,5.04298,303.30,4.00
Add Product 2 to Cart,6044,2976,2312,6385,7997,13298,64,18542,14.742%,5.03631,111.96,8.52
Logout,6024,1292,749,3550,4802,7080,57,11436,6.839%,5.02023,46.01,7.99
TOTAL,48629,1854,998,4469,6319,10204,0,904500,18.999%,40.50867,1424.63,37.21
