Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,6557,310,55,5417,532.23,6.848%,5.46476,44.85,0.82,8403.2
Login,6555,476,77,9667,568.17,6.773%,5.46395,51.42,5.03,9637.3
List Products,6553,787,0,9936,844.84,8.317%,5.46290,555.43,3.69,104113.2
Look at Product,6545,1381,0,18516,1432.29,9.381%,5.45624,491.19,3.62,92184.3
Add Product to Cart,6539,1250,27,13000,1343.17,10.873%,5.45124,114.62,8.25,21531.3
List Products with different page,6529,857,0,9154,937.02,10.109%,5.44316,541.72,4.28,101911.9
Add Product 2 to Cart,6524,1297,17,21038,1394.53,10.837%,5.43899,117.77,9.31,22172.4
Logout,6511,532,38,7324,615.00,7.802%,5.42867,52.34,8.72,9872.1
TOTAL,52313,861,0,21038,1092.68,8.866%,43.59864,1968.77,43.72,46240.5
