Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,4370,1006,474,2897,3467,6516,59,18682,0.069%,3.64005,28.61,0.55
Login,4370,1432,839,3392,3991,7007,124,35209,0.092%,3.63503,33.79,2.34
List Products,4367,1397,893,3283,4002,7374,0,13399,67.117%,3.63292,187.64,1.33
Look at Product,4363,7977,5049,23397,28151,37654,0,52151,21.132%,3.63090,174.06,1.17
Add Product to Cart,4325,8180,5003,23598,28891,40859,57,54824,21.572%,3.59995,34.43,4.00
List Products with different page,4266,1411,814,3430,4299,9600,0,20691,68.659%,3.55142,174.57,2.45
Add Product 2 to Cart,4263,8321,5077,23704,29502,39251,61,57839,20.924%,3.54977,34.50,5.26
Logout,4224,1614,908,3655,5759,9686,118,21894,0.142%,3.51891,33.46,5.28
TOTAL,34548,3915,1189,9986,20359,33618,0,57839,24.951%,28.73356,700.58,22.35
