Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,5923,892,211,2774,4675,8065,55,14444,2.465%,4.93511,40.89,0.74
Login,5923,1147,493,2853,5137,9504,80,14600,3.208%,4.92312,46.86,4.82
List Products,5922,1669,866,4267,7102,11863,0,18986,5.049%,4.92273,507.80,3.59
Look at Product,5910,2812,1759,7034,10089,16360,0,34924,5.804%,4.91419,449.96,3.52
Add Product to Cart,5897,2838,1604,7658,10135,16049,75,34586,7.241%,4.90440,108.85,7.99
List Products with different page,5838,1854,950,5258,7791,11702,0,20668,5.687%,4.85735,496.88,4.13
Add Product 2 to Cart,5838,2851,1690,7291,10739,17208,63,36836,7.640%,4.85693,111.45,9.04
Logout,5823,1269,535,3577,5528,9258,105,14751,3.830%,4.85980,47.49,8.40
TOTAL,47074,1915,932,5128,7967,13294,0,36836,5.111%,39.12254,1808.78,42.17
