Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,4787,509,203,1341,2409,4483,57,8492,2.381%,3.91238,37.13,0.59
Login,4784,682,420,1268,2246,4601,37,9606,2.864%,3.93406,42.24,3.87
List Products,4779,1064,696,2229,3853,6025,0,9987,5.210%,3.95271,412.03,2.91
Look at Product,4773,1781,1194,3994,5404,9107,0,13654,5.971%,3.94776,368.34,2.85
Add Product to Cart,4768,1796,1147,4101,5931,9468,72,15584,8.242%,3.94364,91.94,6.48
List Products with different page,4753,1207,741,2933,4254,6792,0,12517,7.469%,3.94387,402.13,3.38
Add Product 2 to Cart,4747,1760,1181,3983,5552,8983,86,16928,7.436%,3.93890,94.88,7.37
Logout,4741,831,457,2006,3257,5456,107,21048,4.640%,3.93436,43.19,6.80
TOTAL,38132,1203,768,2763,4279,7260,0,21048,5.523%,31.16467,1473.12,33.82
