Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,6314,580,27,10928,932.48,1.647%,5.25432,43.92,0.79,8560.3
Login,6308,768,57,10878,954.38,2.061%,5.25016,50.45,5.01,9840.6
List Products,6301,1808,0,13644,1415.90,3.142%,5.24510,549.06,3.69,107192.1
Look at Product,6287,3086,0,21408,2460.19,4.613%,5.23345,484.38,3.62,94776.7
Add Product to Cart,6275,2533,68,17112,2313.48,6.884%,5.22347,112.47,8.20,22049.1
List Products with different page,6258,1920,0,23125,1579.25,4.458%,5.20992,536.19,4.26,105387.5
Add Product 2 to Cart,6237,2626,64,19029,2386.82,6.045%,5.19246,115.38,9.25,22753.6
Logout,6227,1046,7,471808,6098.43,4.416%,5.18480,50.47,8.65,9967.8
TOTAL,50207,1795,0,471808,2878.49,4.153%,41.78074,1941.67,43.45,47588.2
