Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,4412,1027,354,3222,4801,7309,55,13489,2.607%,3.67446,30.34,0.55
Login,4409,1414,697,3926,5913,9161,95,13809,3.742%,3.67706,34.78,3.56
List Products,4409,2061,1127,5734,8446,11791,0,17611,5.579%,3.67288,370.63,2.64
Look at Product,4408,3973,2644,9287,12007,19282,0,28293,7.237%,3.67270,331.82,2.58
Add Product to Cart,4391,4163,2670,9782,12012,21399,66,28499,10.385%,3.65894,77.16,5.86
List Products with different page,4350,2293,1352,6003,8544,12134,0,21042,7.218%,3.62524,359.49,3.04
Add Product 2 to Cart,4341,3988,2729,9087,11388,19923,57,26814,11.495%,3.61829,78.95,6.56
Logout,4312,1673,807,4900,6851,9585,92,13426,6.285%,3.59530,34.55,6.09
TOTAL,35032,2573,1265,7086,9356,15583,0,28499,6.808%,29.17554,1317.04,30.86
