Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,10511,396,144,1155,1783,3117,57,5359,3.825%,8.69826,65.24,1.31
Login,10504,553,292,1425,2175,3333,60,6517,5.312%,8.69490,76.59,5.85
List Products,10494,582,356,1263,2102,3501,0,6323,64.656%,8.68613,435.03,3.58
Look at Product,10472,1163,779,2726,3770,5460,0,12742,25.754%,8.66798,715.61,3.34
Add Product to Cart,10452,964,437,2593,3552,5161,30,9819,29.592%,8.65139,179.83,10.14
List Products with different page,10439,559,318,1282,2115,3594,0,7003,67.554%,8.64109,425.12,6.27
Add Product 2 to Cart,10427,1013,563,2521,3494,5097,56,9480,28.791%,8.63172,183.21,13.16
Logout,10421,568,242,1575,2310,3571,60,6059,6.573%,8.62696,76.86,12.96
TOTAL,83720,725,347,1888,2749,4440,0,12742,28.994%,69.28049,2156.92,56.60
