Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,17121,210,55,25879,357.29,0.047%,14.23186,113.42,2.14,8160.6
Login,17112,385,116,16703,331.55,0.082%,14.22594,133.94,9.35,9640.9
List Products,17097,1233,0,965170,19825.42,54.606%,14.21508,792.34,5.57,57077.3
Look at Product,17070,1343,0,24392,1070.47,8.161%,14.19257,1438.06,5.25,103756.6
Add Product to Cart,17052,926,50,14776,641.61,8.028%,14.17798,357.93,17.59,25851.5
List Products with different page,17040,1873,0,1132413,35251.44,56.262%,14.16827,786.94,10.91,56875.5
Add Product 2 to Cart,16999,1049,54,29972,843.04,7.918%,14.13424,359.72,23.46,26061.0
Logout,16985,329,0,19211,342.06,0.088%,14.12418,136.05,22.13,9863.3
TOTAL,136476,918,0,1132413,14318.33,16.903%,113.44422,4117.38,96.37,37165.4
