Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,3737,11108,7329,28273,32743,41310,74,56187,1.472%,3.11242,9.41,0.46
Login,3698,12339,8954,30191,34877,44532,138,56223,3.326%,3.08036,13.84,1.50
List Products,3622,0,0,0,0,0,0,1,100.000%,3.02006,3.48,0.00
Look at Product,3622,0,0,0,0,0,0,1,100.000%,3.02006,3.45,0.00
Add Product to Cart,3622,366,144,1076,1235,1820,50,4537,100.000%,3.01914,18.84,1.04
List Products with different page,3622,0,0,0,0,0,0,1,100.000%,3.01930,3.51,0.00
Add Product 2 to Cart,3622,502,286,1128,1281,2149,113,6284,100.000%,3.01899,18.84,1.04
Logout,3622,12446,8975,30272,34709,42256,187,59813,1.988%,3.01794,14.16,2.87
TOTAL,29167,4641,215,19327,27293,37532,0,59813,62.948%,24.29215,85.48,6.90
