Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,4747,947,56,10230,1440.85,4.677%,3.95415,32.26,0.59,8355.4
Login,4740,1272,63,14381,1755.44,4.958%,3.94873,36.86,3.80,9558.3
List Products,4728,2118,0,17723,2651.01,6.747%,3.93922,395.54,2.82,102821.5
Look at Product,4724,3864,0,19444,3594.01,5.377%,3.93661,214.90,2.74,55900.6
Add Product to Cart,4689,3439,54,17742,3213.76,12.988%,3.90790,39.40,6.20,10323.3
List Products with different page,4668,2329,0,18111,2665.78,11.632%,3.89090,371.40,3.24,97743.9
Add Product 2 to Cart,4661,3644,57,20932,3350.82,11.135%,3.88576,41.31,6.99,10886.3
Logout,4654,1531,60,13056,1946.97,10.163%,3.88038,36.18,6.46,9546.7
TOTAL,37611,2390,0,20932,2883.16,8.439%,31.32898,1167.33,32.82,38154.5
