Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,11713,445,55,11557,380.48,0.017%,9.75948,76.31,1.47,8007.0
Login,11709,700,93,3920,446.33,0.060%,9.75736,90.67,5.96,9515.4
List Products,11702,1266,0,827863,15277.98,69.313%,9.75276,450.90,3.30,47342.7
Look at Product,11673,2236,0,9817,1416.23,13.784%,9.72860,875.03,3.00,92102.6
Add Product to Cart,11646,1907,51,6197,1204.52,13.687%,9.70610,220.88,11.14,23303.0
List Products with different page,11617,2107,0,1112574,33280.12,70.569%,9.68243,439.03,7.07,46431.2
Add Product 2 to Cart,11593,2128,58,21045,1349.56,13.362%,9.66244,221.28,15.14,23450.5
Logout,11570,770,113,7130,519.22,0.061%,9.64424,91.40,14.61,9704.2
TOTAL,93223,1444,0,1112574,12981.87,22.609%,77.67276,2464.78,61.67,32494.5
