Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,3765,11451,75,61992,12262.44,1.355%,3.13093,9.45,0.46,3090.7
Login,3714,12072,143,64743,12588.19,1.131%,3.08889,13.95,1.52,4626.1
List Products,3672,0,0,1,0.03,100.000%,3.05555,3.52,0.00,1181.0
Look at Product,3672,0,0,1,0.02,100.000%,3.05554,3.49,0.00,1169.0
Add Product to Cart,3672,323,50,4520,456.27,100.000%,3.05445,19.06,1.05,6389.0
List Products with different page,3671,0,0,1,0.04,100.000%,3.05461,3.55,0.00,1190.0
Add Product 2 to Cart,3671,473,109,4501,461.83,100.000%,3.05364,19.04,1.05,6384.8
Logout,3666,12202,192,66694,12864.12,1.391%,3.04978,14.33,2.90,4812.0
TOTAL,29503,4596,0,66694,9604.62,62.712%,24.53433,86.37,6.97,3604.9
