Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,4527,6081,76,36719,5779.73,2.629%,3.71349,11.24,0.55,3100.1
Login,4490,6760,69,32661,6174.95,2.962%,3.68398,16.59,1.80,4611.0
List Products,4460,0,0,1,0.01,100.000%,3.66653,4.23,0.00,1181.0
Look at Product,4460,0,0,1,0.03,100.000%,3.66653,4.19,0.00,1169.0
Add Product to Cart,4460,267,50,5153,353.32,100.000%,3.66612,22.88,1.26,6390.0
List Products with different page,4460,0,0,1,0.01,100.000%,3.66642,4.26,0.00,1190.0
Add Product 2 to Cart,4460,501,109,11079,561.73,100.000%,3.66317,22.86,1.26,6390.0
Logout,4460,6915,123,31528,6191.17,2.691%,3.66119,17.17,3.47,4801.5
TOTAL,35777,2575,0,36719,4860.81,63.370%,29.34781,103.29,8.33,3604.0
