Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,3676,654,294,1894,2797,4137,60,9319,17.220%,3.06254,24.29,0.46
Login,3671,802,424,2005,3006,4606,45,9425,17.597%,3.07950,27.76,2.73
List Products,3664,1243,756,2912,4199,6385,0,11247,19.869%,3.08741,270.46,2.02
Look at Product,3661,2505,1700,5641,6914,10026,0,20920,22.726%,3.08483,222.91,1.97
Add Product to Cart,3648,2370,1628,5316,6580,9243,53,22609,27.961%,3.07388,53.92,4.39
List Products with different page,3638,1455,850,3472,4764,6766,0,10870,24.766%,3.07632,250.72,2.35
Add Product 2 to Cart,3632,2369,1625,5048,6299,10009,55,20051,28.084%,3.07124,56.10,5.01
Logout,3627,989,533,2427,3306,5371,58,8882,20.706%,3.06736,28.09,4.65
TOTAL,29217,1547,848,3903,5248,8137,0,22609,22.353%,24.34111,922.95,23.30
