Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,3789,1943,895,5765,8308,14308,55,23377,4.064%,3.14528,25.72,0.47
Login,3766,2747,1300,7909,11810,18664,72,28013,5.390%,3.12695,29.30,2.76
List Products,3746,4209,2293,12191,16968,25895,0,43469,6.674%,3.11069,313.42,1.98
Look at Product,3733,6779,4620,15776,22144,30485,0,49064,6.161%,3.11823,270.76,1.94
Add Product to Cart,3733,6480,4482,14883,20247,35728,58,59448,10.474%,3.10158,63.41,4.63
List Products with different page,3676,4052,2481,10670,15544,22840,0,44287,8.624%,3.05458,303.68,2.53
Add Product 2 to Cart,3663,7082,4725,16674,22793,34996,54,203199,10.238%,3.04436,64.45,5.50
Logout,3657,3026,1653,7969,12216,20157,93,28063,7.575%,3.03971,28.97,5.06
TOTAL,29763,4532,2485,11987,16837,27109,0,203199,7.382%,24.70654,1097.42,24.85
