Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,3165,4337,4602,6708,7239,8342,144,11450,0.474%,2.63526,7.97,0.39
Login,3150,4662,4912,7009,7659,8615,138,10296,0.667%,2.64802,11.98,1.30
List Products,3129,0,0,0,0,0,0,1,100.000%,2.64345,3.05,0.00
Look at Product,3129,0,0,0,0,0,0,1,100.000%,2.64345,3.02,0.00
Add Product to Cart,3129,191,97,394,785,1091,55,5529,100.000%,2.64326,16.49,0.91
List Products with different page,3129,0,0,0,0,0,0,1,100.000%,2.65566,3.09,0.00
Add Product 2 to Cart,3129,377,220,762,981,1684,54,21049,100.000%,2.65554,16.56,0.91
Logout,3128,4838,5064,7223,7874,9596,390,11624,0.416%,2.65520,12.50,2.55
TOTAL,25088,1806,193,5994,6763,8082,0,21049,62.556%,20.88895,73.61,5.98
