Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,12540,415,50,9958,552.61,1.651%,10.44145,87.26,1.57,8557.2
Login,12526,692,65,12143,726.54,2.722%,10.43505,100.00,8.98,9813.5
List Products,12505,1135,0,9424,1012.12,2.623%,10.42103,1093.13,6.36,107414.3
Look at Product,12486,1559,0,11815,1491.53,3.236%,10.40390,1027.07,6.22,101089.1
Add Product to Cart,12462,1371,60,10798,1443.37,4.662%,10.39002,245.51,15.36,24196.7
List Products with different page,12444,1116,0,9704,1040.70,3.464%,10.37622,1075.93,8.43,106181.0
Add Product 2 to Cart,12429,1389,11,11633,1452.17,5.407%,10.36380,248.82,18.37,24585.1
Logout,12407,747,54,7001,749.68,3.603%,10.34846,101.58,17.26,10051.1
TOTAL,99799,1052,0,12143,1173.95,3.418%,83.09686,3975.20,82.46,48986.2
