Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,16752,152,116,262,343,595,51,21041,0.018%,13.96044,111.81,2.10
Login,16750,294,252,478,573,846,42,5709,0.030%,13.96046,131.36,10.37
List Products,16745,834,379,795,980,1684,0,1034748,51.609%,13.96109,798.83,6.78
Look at Product,16728,1007,967,1486,1780,4118,0,21046,5.464%,13.94688,1442.64,6.52
Add Product to Cart,16710,709,739,1112,1236,1622,4,18478,5.254%,13.93190,357.09,19.11
List Products with different page,16697,1269,364,768,936,1598,0,1135513,53.063%,13.92170,794.59,11.38
Add Product 2 to Cart,16674,812,797,1199,1365,3423,57,21053,5.176%,13.90254,359.16,24.20
Logout,16655,250,215,386,479,830,100,21051,0.036%,13.88821,134.01,22.49
TOTAL,133711,666,355,1061,1244,1847,0,1135513,15.086%,111.42908,4127.60,102.90
