Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,8422,137,53,6942,132.96,0.012%,7.01188,56.11,1.05,8194.6
Login,8421,285,113,9093,205.11,0.024%,7.05175,66.25,5.29,9619.9
List Products,8419,1495,0,1085122,27151.02,48.248%,7.08262,441.52,3.50,63835.0
Look at Product,8400,752,0,12103,518.98,14.048%,7.10134,648.49,3.41,93511.2
Add Product to Cart,8398,531,58,5698,274.33,13.015%,7.15238,166.28,9.88,23805.8
List Products with different page,8396,1301,0,733334,22423.48,51.394%,7.17509,448.20,5.90,63965.6
Add Product 2 to Cart,8376,603,14,8568,382.52,12.846%,7.16583,168.39,12.56,24062.8
Logout,8374,266,12,3792,129.85,0.024%,7.16781,69.11,11.70,9873.0
TOTAL,67206,671,0,1085122,12467.87,17.455%,55.95273,2027.85,52.15,37112.0
