Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,10750,308,235,610,778,1113,57,4057,0.037%,8.94472,70.56,1.34
Login,10746,523,481,914,1101,1440,89,4871,0.047%,8.94235,83.26,6.16
List Products,10741,921,542,1235,1504,2167,0,658909,61.754%,8.93938,469.20,3.79
Look at Product,10729,1684,1728,2770,3108,3937,0,21057,9.535%,8.92938,845.36,3.61
Add Product to Cart,10694,1373,1402,2340,2592,3090,49,6753,9.276%,8.90033,210.59,11.40
List Products with different page,10687,1513,546,1222,1510,2112,0,1146044,62.749%,8.89493,454.74,6.95
Add Product 2 to Cart,10666,1518,1521,2560,2864,3801,4,9966,9.451%,8.87748,210.99,14.80
Logout,10659,539,459,972,1169,1628,37,3716,0.084%,8.87253,84.59,13.96
TOTAL,85672,1047,624,2074,2449,3180,0,1146044,19.119%,71.28415,2428.66,61.99
